Globex,Exchange,Product Name,Group,Subgroup,Option?,Hours
ZM,CBOT,Soybean Meal Futures,Agriculture,Grain And Oilseed,false,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and<br> Monday – Friday  8:30 a.m. – 1:20 p.m. CT<br> <br>,19:20UTC
RB,NYMEX,RBOB Gasoline Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
HH,NYMEX,Natural Gas (Henry Hub) Last-day Financial Futures,Energy,Natural Gas,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
WAY,NYMEX,WTI Crude Oil 1 Month Calendar Spread Option,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ZW,CBOT,Chicago SRW Wheat Futures,Agriculture,Grain And Oilseed,false,Sunday – Friday:&nbsp;7:00 p.m. – 7:45 a.m. CT and<br> Monday – Friday: 8:30 a.m. – 1:20 p.m. CT<br>,14:30UTC
OZF,CBOT,5-Year T-Note Options,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
HO,NYMEX,NY Harbor ULSD Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AAO,NYMEX,WTI Average Price Option,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
N9L,NYMEX,PJM Western Hub Real-Time Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
LE,CME,Live Cattle Futures,Agriculture,Livestock,false,Monday - Friday: 8:30 a.m. - 1:05 p.m. CT<br> <br> TAS: Monday - Friday 8:30 a.m. - 1:00 p.m. CT (9:,19:05UTC
NPG,NYMEX,Henry Hub Natural Gas Penultimate Financial Futures,Energy,Natural Gas,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
OZW,CBOT,Chicago SRW Wheat Options,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
HG,COMEX,Copper Futures,Metals,Base,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
OZL,CBOT,Soybean Oil Options,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
GE4,CME,Eurodollar 4yr MC Options,Interest Rate,Stirs,true,SUN-FRI: 5:00 p.m. - 4:00 p.m.,22:00UTC
KE,CBOT,KC HRW Wheat Futures,Agriculture,Grain And Oilseed,false,Sunday - Friday  7:00 p.m. - 7:45 a.m. CT and<br> Monday - Friday  8:30 a.m. - 1:20 p.m. CT<br> <br>,19:20UTC
B7A,NYMEX,Light Sweet Crude Oil (WTI) Financial 1 Month Spread Option,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
NQ,CME,E-mini Nasdaq-100 Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET with&nbsp; trading halt 4:15 p.m. - 4:30 p.m.<br> <br> BTIC,22:00UTC
SR1,CME,One-Month SOFR Futures,Interest Rate,Stirs,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
6J,CME,Japanese Yen Futures,FX,Majors,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
EUU,CME,EUR/USD Monthly Options,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
HE,CME,Lean Hog Futures,Agriculture,Livestock,false,Monday - Friday: 8:30 a.m. - 1:05 p.m. CT&nbsp;(9:30 a.m - 2:05 p.m. ET)<br> <br> TAS: Monday - Frid,19:05UTC
SI,COMEX,Silver Futures,Metals,Precious,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ABV,NYMEX,WTI-Brent Crude Oil Spread Option,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
CSX,NYMEX,WTI Financial Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
H2L,NYMEX,ISO New England Mass Hub Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
OZM,CBOT,Soybean Meal Options,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
6C,CME,Canadian Dollar Futures,FX,Majors,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
BZ,NYMEX,Brent Last Day Financial Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
LE,CME,Live Cattle Options,Agriculture,Livestock,true,CME ClearPort:,ERROR,Index 0 out of bounds for length 0
SDA,CME,S&P 500 Annual Dividend Index Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
6B,CME,British Pound Futures,FX,Majors,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
HP,NYMEX,Natural Gas (Henry Hub) Penultimate Financial Futures,Energy,Natural Gas,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
HTT,NYMEX,WTI Houston (Argus) vs. WTI Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
GBU,CME,GBP/USD Monthly Options,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
6M,CME,Mexican Peso Futures,FX,Emerging Market,false,Sundays: 5:00 p.m. – 4:00 p.m. Central Time (CT) next day. Monday – Friday: 5:00 p.m. – 4:00 p.m. CT,22:00UTC
6A,CME,Australian Dollar Futures,FX,Majors,false,Sunday – Friday 5:00 p.m. – 4:00 p.m. CT (with a 60-minute break each day beginning at 4:00 p.m.CT),4:00UTCUTC
HE,CME,Lean Hog Options,Agriculture,Livestock,true,CME ClearPort:,ERROR,Index 0 out of bounds for length 0
B0,NYMEX,Mont Belvieu LDH Propane (OPIS) Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
-,CME,S&P 500 Total Return Index Futures,Equities,US Index,false,BTIC: Sunday - Friday 5:00 p.m. - 3:00 p.m. (6:00 p.m. - 4:00 p.m. ET),21:00UTC
SO,COMEX,Silver Option,Metals,Precious,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
E4A,CME,E-mini S&P 500 Monday Weekly Options - Week 4,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a daily trading halt f,22:00UTC
N1U,CBOT,10-Year USD MAC Swap Futures,Interest Rate,Swap Futures,false,5 p.m. to 4 p.m.  Sun-Fri.,ERROR,Index 0 out of bounds for length 0
BE,NYMEX,Brent Last Day Financial (European) Option,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
WTT,NYMEX,WTI Midland (Argus) vs. WTI Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
BK,NYMEX,WTI-Brent Financial Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
YM,CBOT,E-mini Dow ($5) Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
G4X,NYMEX,Natural Gas (Henry Hub) Last-day Financial 1 Month Spread Option,Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
LIY,CBOT,10-year Eris Swap Futures,Interest Rate,Swap Futures,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
DC,CME,Class III Milk Options,Agriculture,Dairy,true,Sundays at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m,23:00UTC
MES,CME,Micro E-mini S&P 500 Index Futures,Equities,US Index,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with&nbsp; trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
E5C,CME,E-mini S&P 500 Wednesday Weekly Options - Week 5,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a daily trading halt f,22:00UTC
AD0,NYMEX,Mont Belvieu Normal Butane (OPIS) Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
ZN2,CBOT,10-Year T-Note Weekly Options - Week 2,Interest Rate,US Treasury,true,Sunday - Friday: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
AFF,NYMEX,WTI Midland (Argus) vs. WTI Financial Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
BZO,NYMEX,Brent Crude Oil Futures-Style Margin Option,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PL,NYMEX,Platinum Futures,Metals,Precious,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
TFO,NYMEX,Dutch TTF Natural Gas Futures-Style Margined Calendar Month Option,Energy,Natural Gas,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
D2L,NYMEX,NYISO Zone G Day-Ahead Off-Peak Calendar-Month 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ON,NYMEX,Natural Gas Option (American),Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AC0,NYMEX,Mont Belvieu Ethane (OPIS) Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
A1R,NYMEX,Propane Non-LDH Mont Belvieu (OPIS) Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
EW2,CME,E-mini S&P 500 Weekly Options - Week 2,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a daily trading halt f,22:00UTC
JPU,CME,JPY/USD Monthly Options,FX,Majors,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
