Globex,Exchange,Product Name,Group,Subgroup,Option?,Hours
WD1,CME,CAD/USD Weekly Wednesday Options - Week 1,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
6OA,NYMEX,PJM Western Hub Real-Time Peak 5 MW Calendar Strip Option,Energy,Electricity,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MD4,CME,CAD/USD Weekly Monday Options - Week 4,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
MNB,NYMEX,Mont Belvieu Normal Butane LDH (OPIS) Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
OG3,COMEX,Gold Weekly Options - Week 3,Metals,Precious,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
YIC,CBOT,3-Year Eris SOFR Swap Futures,Interest Rate,Swap Futures,false,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
AR0,NYMEX,Mont Belvieu Natural Gasoline (OPIS) BALMO Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
WA5,CME,AUD/USD Weekly Wednesday Options - Week 5,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
A91,NYMEX,Argus Propane Far East Index vs. European Propane CIF ARA (Argus) Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
DFN,CBOT,DAP FOB NOLA Futures,Agriculture,Fertilizer,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
A46,NYMEX,PJM METED Zone Off-Peak Calendar-Month Day-Ahead LMP Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
UN,NYMEX,European Naphtha Cargoes CIF NWE (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m.&nbsp;ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a 60-minute break,22:00UTC
3AD,CME,AUD/USD Weekly Friday Options - Week 3,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
A8J,NYMEX,Mont Belvieu Normal Butane (OPIS) BALMO Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ALA,COMEX,Alumina FOB Australia (Platts) Futures,Metals,Base,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET&nbsp;(5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each,23:00UTC
MO4,CME,EUR/USD Weekly Monday Options - Week 4,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
A8L,NYMEX,Conway Natural Gasoline (OPIS) Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MJ1,CME,JPY/USD Weekly Monday Options - Week 1,FX,Majors,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
PRK,CME,Pork Cutout Futures,Agriculture,Livestock,false,Monday - Friday: 8:30 a.m. - 1:05 p.m. CT,19:05UTC
MEO,NYMEX,Mini Gasoline Euro-bob Oxy NWE Barges (Argus) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
QI,COMEX,E-mini Silver Futures,Metals,Precious,false,Sunday – Friday 6:00 p.m. – 5:00 p.m. (5:00 p.m. – 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
WJ5,CME,JPY/USD Weekly Wednesday Options - Week 5,FX,Majors,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
OZR,CBOT,Rough Rice Options,Agriculture,Grain And Oilseed,true,Sunday – Thursday  7:00 p.m. – 9:00 p.m. CT and<br> Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
UME,CBOT,Urea (Granular) FOB Middle East Futures,Agriculture,Fertilizer,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
UV,NYMEX,European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
USE,NYMEX,USGC to UK Continent (Platts) Dirty Freight Futures,Energy,Freight,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MNC,NYMEX,Mini European Naphtha CIF NWE (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
3BP,CME,GBP/USD Weekly Friday Options - Week 3,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
OYM,CBOT,E-mini Dow ($5) Options,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m. CT) with a daily trading halt from 4,22:00UTC
NX,NYMEX,Texas Eastern Zone M-3 Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
PAO,NYMEX,Palladium Option,Metals,Precious,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
UKG,NYMEX,UK NBP Natural Gas Calendar Month Futures,Energy,Natural Gas,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
FLP,NYMEX,Freight Route Liquid Petroleum Gas (BLPG1) (Baltic) Futures,Energy,Freight,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
MPC,CME,MPC SONIA Futures,Interest Rate,Stirs,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
ZJL,NYMEX,NYISO Zone J Day-Ahead Off-Peak Calendar-Day 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AGA,NYMEX,Singapore Gasoil (Platts) vs. Low Sulphur Gasoil Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
NLS,NYMEX,NY Harbor ULSD vs. Low Sulphur Gasoil (1,000bbl) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
VR,NYMEX,NY 1% Fuel Oil (Platts) vs. Gulf Coast HSFO (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
BLK,CME,Block Cheese Futures,Agriculture,Dairy,false,Sunday at 5:00 p.m. through Friday at 1:55 p.m. with daily trading halts from 4:00 p.m. to 5:00 p.m.,23:00UTC
LPS,NYMEX,LOOP Crude Oil Storage Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
LB,NYMEX,NY Harbor ULSD European Financial Option,Energy,Refined Products,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
WD5,CME,CAD/USD Weekly Wednesday Options - Week 5,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
ESK,CME,Euro/Swedish Krona Futures,FX,Cross Rates,false,Default:,ERROR,Index 0 out of bounds for length 0
BOO,NYMEX,3.5% Fuel Oil Barges FOB Rdam (Platts) Crack Spread (1000mt) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
KCW,CBOT,KC HRW Wheat-Wheat Intercommodity Spread Options,Agriculture,Grain And Oilseed,true,Monday - &nbsp;Friday  8:30 a.m. - 1:15 p.m. CT with Post session until 1:20 p.m. CT immediately fol,19:15UTC
DAP,NYMEX,EIA Flat Tax On-Highway Diesel Average Price Option,Energy,Refined Products,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
COL,NYMEX,ISO New England Mass Hub Day-Ahead Peak Calendar-Day 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
JE,NYMEX,EIA Flat Tax U.S. Retail Gasoline Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
PO,NYMEX,Platinum Option,Metals,Precious,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MJ4,CME,JPY/USD Weekly Monday Options - Week 4,FX,Majors,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
PMA,NYMEX,PJM Western Hub Real-Time Peak Calendar-Month 50 MW Option,Energy,Electricity,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
CZ7,CBOT,Corn Mar-Jul CSO,Agriculture,Grain And Oilseed,false,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
WCM,CBOT,Chicago SRW Wheat July-Dec CSO,Agriculture,Grain And Oilseed,false,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
RKA,NYMEX,Singapore Jet Kerosene (Platts) vs. Gasoil (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
WJ1,CME,JPY/USD Weekly Wednesday Options - Week 1,FX,Majors,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
SGU,COMEX,Shanghai Gold (USD) Futures,Metals,Precious,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
ANT,NYMEX,Argus WTI Diff vs. CMA NYMEX Trade Month Futures,Energy,Crude Oil,false,Sunday - Friday &nbsp;6:00 p.m. - 5:00 p.m.(5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each da,22:00UTC
3CD,CME,CAD/USD Weekly Friday Options - Week 3,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
A4H,NYMEX,Mont Belvieu LDH Propane (OPIS) Average Price Option,Energy,Petrochemicals,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ZW1,CBOT,Chicago SRW Wheat Weekly Options - Week 1,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
GNL,NYMEX,NYISO Zone G Day-Ahead Peak Calendar-Day 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MB4,CME,GBP/USD Weekly Monday Options - Week 4,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
MQE,CME,Micro E-mini Nasdaq-100 Index EOM Options,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
A42,NYMEX,WTI BALMO Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MAS,NYMEX,Mini Argus Propane (Saudi Aramco) Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
BF2,NYMEX,LNG Freight Route BLNG2 (Baltic) Futures,Energy,Freight,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
SAS,CBOT,FOB Santos Soybeans Financially Settled (Platts) Futures,Agriculture,Grain And Oilseed,false,Monday - Friday: &nbsp;8:30 a.m. - 1:20 p.m. CT<br> Pre-Open: Monday - Friday:&nbsp; 8:00 a.m. - 8:3,14:00UTC
MQ3,CME,Options on Micro E-mini Nasdaq-100 Index Futures - Week 3,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
1AD,CME,AUD/USD Weekly Friday Options - Week 1,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
WC3,CBOT,Chicago SRW Wheat Mar-Jul CSO,Agriculture,Grain And Oilseed,false,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
WG5,CME,GBP/USD Weekly Wednesday Options - Week 5,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
SO1,COMEX,Silver Weekly Options - Week 1,Metals,Precious,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
H5F,NYMEX,USGC Marine Fuel 0.5% Barges (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
4JY,CME,JPY/USD Weekly Friday Options - Week 4,FX,Majors,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
NOO,NYMEX,Naphtha Cargoes CIF NWE (Platts) Crack Spread (1000mt) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
OE1,CBOT,KC HRW Wheat Options Week 1,Agriculture,Grain And Oilseed,true,Sunday – Friday  7:00 p.m. – 7:45 a.m. CT and <br>Monday – Friday  8:30 a.m. – 1:20 p.m. CT,19:20UTC
OUB,CBOT,Ultra U.S. Treasury Bond Options,Interest Rate,US Treasury,true,SUN-FRI: 5:00 p.m. - 4:00 p.m. CT,22:00UTC
1S,NYMEX,Propane Non-LDH Mont Belvieu (OPIS) BALMO Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
A4D,NYMEX,Natural Gas Summer Strip Option,Energy,Natural Gas,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
YIA,CBOT,1-Year Eris SOFR Swap Futures,Interest Rate,Swap Futures,false,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
JET,NYMEX,NY Buckeye Jet Fuel (Platts) vs. NY Harbor ULSD Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MJN,NYMEX,Mini Japan C&F Naphtha (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a 60-minute break each da,22:00UTC
PWL,NYMEX,PJM Western Hub Day-Ahead Off-Peak Calendar-Day 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ZAL,NYMEX,NYISO Zone A Day-Ahead Off-Peak Calendar-Day 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
SE,NYMEX,Singapore Fuel Oil 380 cst (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
S5F,NYMEX,Singapore FOB Marine Fuel 0.5% (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
T2D,NYMEX,Freight Route TD20 (Baltic) Futures,Energy,Freight,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
A4K,NYMEX,Mont Belvieu Normal Butane (OPIS) Average Price Option,Energy,Petrochemicals,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
A8B,NYMEX,Group Three Sub-octane Gasoline (Platts) vs. RBOB Gasoline BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
ARY,NYMEX,RBOB Gasoline vs. NY Harbor ULSD Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MA1,CME,AUD/USD Weekly Monday Options - Week 1,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
UNO,CBOT,UAN FOB NOLA Futures,Agriculture,Fertilizer,false,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
PJY,CME,British Pound/Japanese Yen Futures,FX,Cross Rates,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
MTS,NYMEX,Mini Singapore Fuel Oil 380 cst (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
GCI,NYMEX,Gulf Coast HSFO (Platts) Brent Crack Spread Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
A1D,NYMEX,RBOB Gasoline BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
EWG,NYMEX,East-West Gasoline Spread (Platts-Argus) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
J7,CME,E-mini Japanese Yen Futures,FX,Majors,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m.,22:00UTC
GBB,NYMEX,Gulf Coast Unl 87 Gasoline M2 (Platts) vs. RBOB Gasoline BALMO Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
UX,COMEX,UxC Uranium U3O8 Futures,Metals,Other,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
ENK,CME,Euro/Norwegian Krone Futures,FX,Cross Rates,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m.,22:00UTC
MNQ,CME,Options on Micro E-mini Nasdaq-100 Index Futures,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
MBE,NYMEX,Mont Belvieu Spot Ethylene In-Well Futures,Energy,Petrochemicals,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
HCL,NYMEX,WTI Houston Crude Oil Futures,Energy,Crude Oil,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
E3A,CME,E-mini S&P 500 Monday Weekly Options - Week 3,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. ET (5:00 p.m. - 4:00 p.m.&nbsp;CT) with a daily trading halt f,22:00UTC
MEF,NYMEX,Micro European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
4CD,CME,CAD/USD Weekly Friday Options - Week 4,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
4AD,CME,AUD/USD Weekly Friday Options - Week 4,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
PH,NYMEX,Panhandle Natural Gas (Platts IFERC) Basis Futures,Energy,Natural Gas,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
LO2,NYMEX,Crude Oil Weekly Options - Week 2,Energy,Crude Oil,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
KWC,CBOT,KC HRW-Chicago SRW Wheat Intercommodity Spread Options,Agriculture,Grain And Oilseed,true,Sunday - Friday  7:00 p.m. - 7:45 a.m. CT and<br> Monday - &nbsp;Friday  8:30 a.m. - 1:20 p.m. CT,19:20UTC
VDL,NYMEX,PJM AEP Dayton Hub Real-Time Peak Calendar-Day 5 MW Futures,Energy,Electricity,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
PSF,CME,British Pound/Swiss Franc Futures,FX,Cross Rates,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
STS,NYMEX,Singapore Fuel Oil 180 cst (Platts) 6.35 Dubai (Platts) Crack Spread Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
WJ2,CME,JPY/USD Weekly Wednesday Options - Week 2,FX,Majors,true,Sunday - Friday 5:00 p.m. - 4:00 p.m. (6:00 p.m. - 5:00 p.m. ET) with a 60-minute break each day beg,22:00UTC
EX4,CME,Options on Micro E-mini Standard and Poors 500 Stock Price Index Futures - Week 4,Equities,US Index,true,Sunday - Friday 6:00 p.m. - 5:00 p.m. Eastern Time (ET) with trading halt 4:15 p.m. - 4:30 p.m,22:00UTC
MIR,CME,Micro INR/USD Futures,FX,Micros,false,Sunday: 5:00 p.m. - 4:00 p.m. CT next day. Monday - Friday: 5:00 p.m. - 4:00 p.m. CT the next day  e,22:00UTC
AJY,CME,Australian Dollar/Japanese Yen Futures,FX,Cross Rates,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
PLN,CME,Polish Zloty Futures,FX,Emerging Market,false,Sundays: 5:00 p.m. – 4:00 p.m. Central Time (CT) next day. Monday – Friday: 5:00 p.m. – 4:00 p.m. CT,22:00UTC
MB4,CME,GBP/USD Weekly Monday Options - Week 4,FX,Majors,true,Sunday 5:00 p.m. - Friday - 4:00 p.m. CT with a 60-minute break each day beginning at 4:00 p.m. CT,22:00UTC
QC,COMEX,E-mini Copper Futures,Metals,Base,false,Sunday – Friday 6:00 p.m. – 5:00 p.m. (5:00 p.m. – 4:00 p.m. Chicago Time/CT) with a 60-minute break,22:00UTC
A0D,NYMEX,Mini European 3.5% Fuel Oil Barges FOB Rdam (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
JA,NYMEX,Japan C&F Naphtha (Platts) Futures,Energy,Refined Products,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
AJ9,NYMEX,Brent Crude Oil BALMO Futures,Energy,Crude Oil,false,Sunday - Friday 6:00 p.m. - 5:00 p.m. (5:00 p.m. - 4:00 p.m. CT) with a 60-minute break each day beg,22:00UTC
