Code,Exchange,Product Name,Group,Subgroup,Option?,Close
RS,IFUS,Canola Futures,Agriculture,Canola,false,19:20UTC
CC,IFUS,Cocoa Futures,Agriculture,Cocoa,false,18:30UTC
KC,IFUS,Coffee C ® Futures,Agriculture,Coffee,false,18:30UTC
CT,IFUS,Cotton No. 2 Futures,Agriculture,Cotton,false,19:20UTC
OJ,IFUS,FCOJ-A Futures,Agriculture,Frozen Orange Juice,false,19:00UTC
C,IFLX,London Cocoa Futures,Agriculture,Cocoa,false,16:55UTC
RC,IFLX,Robusta Coffee Futures,Agriculture,Coffee,false,17:30UTC
SB,IFUS,Sugar No. 11 Futures,Agriculture,Sugar,false,18:00UTC
SF,IFUS,Sugar No. 16 Futures,Agriculture,Sugar,false,18:00UTC
W,IFLX,White Sugar Futures,Agriculture,Sugar,false,18:00UTC
RS1,IFUS,Canola 1-month Calendar Spread Option,Agriculture,Canola,true,19:20UTC
RS,IFUS,Canola Options,Agriculture,Canola,true,19:20UTC
CC1,IFUS,Cocoa 1-Month Calendar Spread Option,Agriculture,Cocoa,true,18:30UTC
CC2,IFUS,Cocoa 2-Month Calendar Spread Option,Agriculture,Cocoa,true,18:30UTC
CC,IFUS,Cocoa Options,Agriculture,Cocoa,true,18:30UTC
KC1,IFUS,Coffee "C" 1-Month Calendar Spread Option,Agriculture,Coffee,true,18:30UTC
KC2,IFUS,Coffee "C" 2-Month Calendar Spread Option,Agriculture,Coffee,true,18:30UTC
KC,IFUS,Coffee C ® Options,Agriculture,Coffee,true,18:30UTC
CS,IFLX,Containerised White Sugar Futures,Agriculture,Sugar,false,18:00UTC
CT1,IFUS,Cotton No. 2 1-Month Calendar Spread Option,Agriculture,Cotton,true,19:30UTC
CT2,IFUS,Cotton No. 2 2-Month Calendar Spread Option,Agriculture,Cotton,true,19:30UTC
CT,IFUS,Cotton No. 2 Options,Agriculture,Cotton,true,19:20UTC
EC,IFLX,Euro Cocoa Futures,Agriculture,Cocoa,false,16:55UTC
EC,IFLX,Euro Cocoa Options,Agriculture,Cocoa,true,16:55UTC
OJ,IFUS,FCOJ-A Options,Agriculture,Frozen Orange Juice,true,19:00UTC
C1,IFLX,London Cocoa 1-Month Calendar Spread Option,Agriculture,Cocoa,true,16:55UTC
C2,IFLX,London Cocoa 2-Month Calendar Spread Option,Agriculture,Cocoa,true,16:55UTC
C,IFLX,London Cocoa Options,Agriculture,Cocoa,false,16:55UTC
RC1,IFLX,Robusta Coffee 1-Month Calendar Spread Option,Agriculture,Coffee,true,17:30UTC
RC2,IFLX,Robusta Coffee 2-Month Calendar Spread Option,Agriculture,Coffee,true,17:30UTC
RC,IFLX,Robusta Coffee Options,Agriculture,Coffee,false,17:30UTC
SB1,IFUS,Sugar No. 11 1-Month Calendar Spread Option,Agriculture,Sugar,true,18:00UTC
SB2,IFUS,Sugar No. 11 2-Month Calendar Spread Option,Agriculture,Sugar,true,18:00UTC
SB,IFUS,Sugar No. 11 Options,Agriculture,Sugar,true,18:00UTC
T,IFLX,UK Feed Wheat Futures,Agriculture,Grains,false,17:28UTC
T,IFLX,UK Feed Wheat Options,Agriculture,Grains,false,17:28UTC
KCW,IFUS,Weekly Coffee "C" Options,Agriculture,Coffee,true,19:00UTC
CTW,IFUS,Weekly Cotton No. 2 Options,Agriculture,Cotton,true,19:20UTC
SBW,IFUS,Weekly Sugar No. 11 Options,Agriculture,Sugar,true,18:00UTC
W,IFLX,White Sugar Options,Agriculture,Sugar,false,18:00UTC
HY5,IFUS,Eris CDX HY Credit Future (5 Year),Credit,Credit Indexes,false,23:00UTC
IG5,IFUS,Eris CDX IG Credit Future (5 Year),Credit,Credit Indexes,false,23:00UTC
BMC,IFSG,Bakkt ® Bitcoin (USD) Cash Settled Monthly Futures,Digital Assets,Bitcoin,false,23:00UTC
BTM,IFUS,Bakkt ® Bitcoin (USD) Monthly Futures,Digital Assets,Bitcoin,false,23:00UTC
BTM,IFUS,Option on Bakkt ® Bitcoin (USD) Monthly Futures,Digital Assets,Bitcoin,true,23:00UTC
AEC,IFED,AB NIT Basis Future,Energy,Natural Gas,false,23:00UTC
ATW,IFEU,API2 Rotterdam Coal Futures,Energy,Coal,false,23:00UTC
AFR,IFEU,API4 Richards Bay Coal Futures,Energy,Coal,false,23:00UTC
AEO,IFEU,Argus Eurobob Oxy FOB Rotterdam Barges Future,Energy,Crude Oil and Refined Products,false,23:00UTC
I,IFEU,Brent 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
B,IFEU,Brent Crude Futures,Energy,Crude Oil and Refined Products,true,23:00UTC
ABS,IFED,Butane  Argus Saudi CP Future,Energy,Natural Gas Liquids,false,23:00UTC
DBF,IFEU,Crude Diff - Dated Brent vs Brent 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
HOV,IFED,Crude Diff – Permian WTI 1st Line vs Brent 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
HOX,IFED,Crude Diff – Permian WTI 1st Line vs Dubai 1st Line (Platts) Future,Energy,Crude Oil and Refined Products,false,23:00UTC
HOW,IFED,Crude Diff – Permian WTI 1st Line vs WTI 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
HOZ,IFED,Crude Diff – Permian WTI Trade Month vs WTI Trade Month Future,Energy,Crude Oil and Refined Products,false,23:00UTC
PDB,IFEU,Dated Brent Future,Energy,Crude Oil and Refined Products,false,23:00UTC
DBI,IFEU,Dubai 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
TFM,NDEX,Dutch TTF Gas Futures,Energy,Natural Gas,false,17:00UTC
END,IFED,ERCOT North 345KV Real-Time Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
ETE,IFED,Ethane  OPIS Mt. Belvieu Non-TET Future,Energy,Natural Gas Liquids,false,23:00UTC
C,IFEU,EUA Futures,Energy,Emissions,false,17:00UTC
SZS,IFEU,Fuel Oil 180 CST Singapore Future,Energy,Crude Oil and Refined Products,false,23:00UTC
BAR,IFEU,Fuel Oil 3.5% FOB Rotterdam Barges Future,Energy,Crude Oil and Refined Products,false,23:00UTC
SYS,IFEU,Fuel Oil 380 CST Singapore Future,Energy,Crude Oil and Refined Products,false,23:00UTC
SMT,IFEU,Gasoline - Singapore Mogas 92 Unleaded (Platts) Future,Energy,Crude Oil and Refined Products,false,ERROR : TIME CANNOT BE FOUND ON WEB PAGE
GDO,IFED,Gasoline Diff - RBOB Gasoline 1st Line vs Argus Eurobob Oxy FOB Rotterdam Barge Future,Energy,Crude Oil and Refined Products,false,ERROR : TIME CANNOT BE FOUND ON WEB PAGE
GAB,NDEX,German Power Financial Base Futures,Energy,Electricity,false,17:00UTC
NCF,IFEU,globalCOAL Newcastle Coal Futures,Energy,Coal,false,23:00UTC
ULM,IFED,Heating Oil Arb - Heating Oil 1st Line vs Low Sulphur Gasoil 1st Line Future (in Bbls),Energy,Crude Oil and Refined Products,false,23:00UTC
NYH,IFED,Heating Oil Crack - NYH ULSHO 1st Line vs Brent 1st Line Future (in Bbls),Energy,Crude Oil and Refined Products,false,23:00UTC
NYW,IFED,Heating Oil Crack - NYH ULSHO 1st Line vs WTI 1st Line Future (in Bbls),Energy,Crude Oil and Refined Products,false,23:00UTC
NYF,IFED,Heating Oil Outright - NYH ULSHO 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
H,IFED,Henry LD1 Fixed Price Future,Energy,Natural Gas,false,23:00UTC
HHL,IFED,Henry LD1 Fixed Price Future 25K,Energy,Natural Gas,false,23:00UTC
HHD,IFED,Henry Swing Future,Energy,Natural Gas,false,23:00UTC
G,IFEU,Low Sulphur Gasoil Futures,Energy,Crude Oil and Refined Products,false,23:00UTC
MCC,IFED,MISO Indiana Hub Day-Ahead Peak Fixed Price Future,Energy,Electricity,false,23:00UTC
CIN,IFED,MISO Indiana Hub Real-Time Peak Fixed Price Future,Energy,Electricity,false,23:00UTC
NGE,IFED,Natural Gasoline  OPIS Mt. Belvieu Non-TET Future,Energy,Natural Gas Liquids,false,23:00UTC
NBI,IFED,Normal Butane  OPIS Mt. Belvieu Non-TET Future,Energy,Natural Gas Liquids,false,23:00UTC
HHR,IFED,Option on Henry Penultimate 4-Month Calendar Spread Future,Energy,Natural Gas,true,23:00UTC
HHV,IFED,Option on Henry Penultimate 5-Month Calendar Spread Future,Energy,Natural Gas,true,23:00UTC
PHE,IFED,Option on Henry Penultimate Fixed Price Future,Energy,Natural Gas,true,23:00UTC
HHP,IFED,Option On Henry Penultimate Fixed Price Future 25K,Energy,Natural Gas,true,23:00UTC
HOU,IFEU,Permian West Texas Intermediate (WTI) Crude Oil Future,Energy,Crude Oil and Refined Products,false,23:00UTC
DCP,IFED,PJM Day Day-Ahead Peak Fixed Price Future,Energy,Electricity,false,23:00UTC
PJC,IFED,PJM Western Hub Day-Ahead Peak Fixed Price Future,Energy,Electricity,false,23:00UTC
PJM,IFED,PJM Western Hub Real-Time Peak (800 MWh) Fixed Price Future,Energy,Electricity,false,23:00UTC
PMM,IFED,PJM Western Hub Real-Time Peak Calendar Year One Time Mini Fixed Price Future,Energy,Electricity,false,23:00UTC
APC,IFED,Propane  Argus CIF ARA Future,Energy,Natural Gas Liquids,false,23:00UTC
AFE,IFED,Propane  Argus Far East Index (AFEI) Future,Energy,Natural Gas Liquids,false,23:00UTC
SCP,IFED,Propane  Argus Saudi CP Future,Energy,Natural Gas Liquids,false,23:00UTC
PRL,IFED,Propane  OPIS Mt. Belvieu TET Future,Energy,Natural Gas Liquids,false,23:00UTC
CEK,IFED,Propane  OPIS Mt. Belvieu TET vs Propane  Argus CIF ARA Future,Energy,Natural Gas Liquids,false,23:00UTC
M,IFEU,UK Natural Gas Futures,Energy,Natural Gas,false,17:00UTC
PJH,IFED,Weekly Average Price on PJM Western Hub Real-Time Peak Fixed Price Future,Energy,Electricity,false,ERROR : TIME CANNOT BE FOUND ON WEB PAGE
T,IFEU,WTI Crude Futures,Energy,Crude Oil and Refined Products,false,23:00UTC
NG7,IFED,AB NIT (7a/5a) Index Future,Energy,Natural Gas,false,23:00UTC
NG5,IFED,AB NIT 5a Swing Future (US/MM),Energy,Natural Gas,false,23:00UTC
FQN,IFED,AB NIT Fixed Price Future,Energy,Natural Gas,false,23:00UTC
AIS,IFED,AB NIT Index Future,Energy,Natural Gas,false,23:00UTC
ASS,IFED,AB NIT Swing Future,Energy,Natural Gas,false,23:00UTC
ALQ,IFED,Algonquin Citygates Basis Future,Energy,Natural Gas,false,23:00UTC
ALG,IFED,Algonquin Citygates Fixed Price Future,Energy,Natural Gas,false,23:00UTC
ALI,IFED,Algonquin Citygates Index Future,Energy,Natural Gas,false,23:00UTC
ALS,IFED,Algonquin Citygates Swing Future,Energy,Natural Gas,false,23:00UTC
CGM,IFED,ANR SE (Louisiana) Basis Future,Energy,Natural Gas,false,23:00UTC
API,IFED,ANR SE (Louisiana) Index Future,Energy,Natural Gas,false,23:00UTC
APS,IFED,ANR SE (Louisiana) Swing Future,Energy,Natural Gas,false,23:00UTC
ANO,IFED,ANR SW (Oklahoma) Basis Future,Energy,Natural Gas,false,23:00UTC
AOI,IFED,ANR SW (Oklahoma) Index Future,Energy,Natural Gas,false,23:00UTC
AOS,IFED,ANR SW (Oklahoma) Swing Future,Energy,Natural Gas,false,23:00UTC
RCA,IFEU,API2 Rotterdam Coal Average Price Options (Futures Style Margin),Energy,Coal,true,23:00UTC
ATD,IFEU,API2 Rotterdam Coal Cal 1x Options (Futures Style Margin),Energy,Coal,true,23:00UTC
RDE,IFEU,API2 Rotterdam Coal Early (122 days) Single Expiry Options (Futures Style Margin),Energy,Coal,true,23:00UTC
RDF,IFEU,API2 Rotterdam Coal Early (214 days) Single Expiry Options (Futures Style Margin),Energy,Coal,true,23:00UTC
RDG,IFEU,API2 Rotterdam Coal Early (305 days) Single Expiry Options (Futures Style Margin),Energy,Coal,true,23:00UTC
RCO,IFEU,API2 Rotterdam Coal Options (Futures Style Margin),Energy,Coal,true,23:00UTC
ATH,IFEU,API2 Rotterdam Coal Qtr 1x Options (Futures Style Margin),Energy,Coal,true,23:00UTC
RBC,IFEU,API4 Richards Bay Coal Cal 1x Options (Futures Style Margin),Energy,Coal,true,23:00UTC
RBE,IFEU,API4 Richards Bay Coal Early (122 days) Single Expiry Options (Futures Style Margin),Energy,Coal,true,23:00UTC
RBF,IFEU,API4 Richards Bay Coal Early (214 days) Single Expiry Options (Futures Style Margin),Energy,Coal,true,23:00UTC
RBG,IFEU,API4 Richards Bay Coal Early (305 days) Single Expiry Options (Futures Style Margin),Energy,Coal,true,23:00UTC
AFO,IFEU,API4 Richards Bay Coal Options (Futures Style Margin),Energy,Coal,true,23:00UTC
RBD,IFEU,API4 Richards Bay Coal Qtr 1x Options (Futures Style Margin),Energy,Coal,true,23:00UTC
CRF,IFEU,API8 CFR South China Coal Futures,Energy,Coal,false,23:00UTC
FAM,IFEU,Argus Biodiesel FAME Zero FOB Rotterdam (RED Compliant) Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ABI,IFEU,Argus Biodiesel RME FOB Rotterdam (RED Compliant) Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARG,IFEU,Argus East Siberian Pacific Ocean (ESPO) Future,Energy,Crude Oil and Refined Products,false,23:00UTC
AEE,IFEU,Argus Eurobob Non-Oxy FOB Rotterdam Barges Futures Balmo,Energy,Crude Oil and Refined Products,false,23:05UTC
AEO,IFEU,Argus Eurobob Oxy FOB Rotterdam Barges Average Price Options,Energy,Crude Oil and Refined Products,true,23:05UTC
AEP,IFEU,Argus Eurobob Oxy FOB Rotterdam Barges Balmo Future,Energy,Crude Oil and Refined Products,false,23:05UTC
AOM,IFEU,Argus Eurobob Oxy FOB Rotterdam Barges Mini Future,Energy,Crude Oil and Refined Products,false,23:00UTC
AEB,IFEU,Argus Eurobob Oxy FOB Rotterdam Barges vs Brent 1st Line Future (in Bbls),Energy,Crude Oil and Refined Products,false,23:00UTC
EON,IFEU,Argus Eurobob OXY FOB Rotterdam Barges VS Platts Naphtha CIF NWE Cargoes Future,Energy,Crude Oil and Refined Products,false,23:00UTC
BOM,IFED,Argus Houston Methanol Futures,Energy,Crude Oil and Refined Products,false,23:00UTC
ARH,IFED,Argus LLS Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARM,IFED,Argus Mars Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ACB,IFED,Argus WTI Houston vs Dated Brent (Platts) future,Energy,Crude Oil and Refined Products,false,23:00UTC
AVM,NDEX,Austrian CEGH VTP Gas Futures,Energy,Natural Gas,false,17:00UTC
AOT,NDEX,Austrian Power Financial Base Futures,Energy,Electricity,false,17:00UTC
AOU,NDEX,Austrian Power Financial Peak Futures,Energy,Electricity,false,17:00UTC
PJF,IFED,Average Price Option on PJM Western Hub Day-Ahead Peak (1 MW) Fixed Price Future,Energy,Electricity,true,23:00UTC
PJG,IFED,Average Price Option on PJM Western Hub Real-Time Peak (1 MW) Fixed Price Future,Energy,Electricity,true,23:00UTC
BPB,NDEX,Belgian Power Base Futures,Energy,Electricity,false,17:00UTC
BEB,NDEX,Belgian Power Financial Base Futures,Energy,Electricity,false,17:00UTC
BEP,NDEX,Belgian Power Financial Peak Futures,Energy,Electricity,false,17:00UTC
ZTP,NDEX,Belgian ZTP Gas Futures,Energy,Natural Gas,false,17:00UTC
EZH,NDXS,Belgian ZTP Gas Spot,Energy,Natural Gas,false,ERROR : TIME CANNOT BE FOUND ON WEB PAGE
EZL,NDXS,Belgian ZTPL Gas Spot,Energy,Natural Gas,false,ERROR : TIME CANNOT BE FOUND ON WEB PAGE
BUC,IFED,Benzene  IHS MARKIT US Contract Price Future,Energy,Petrochemicals,false,ERROR : TIME CANNOT BE FOUND ON WEB PAGE
BUI,IFED,Benzene  IHS MARKIT US Index Fixed Price Future,Energy,Petrochemicals,false,ERROR : TIME CANNOT BE FOUND ON WEB PAGE
BRI,IFEU,Biodiesel Diff - Argus Bio-D RME FOB ARA Range (RED Compliant) vs Low Sulphur Gasoil 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
UCR,IFEU,Biodiesel Diff - Argus UCOME FOB ARA Range (RED Compliant) vs Low Sulphur Gasoil 1st Line Future,Energy,Crude Oil and Refined Products,false,23:05UTC
BFZ,IFEU,Biodiesel Diff Argus BioD FAME 0 FOB ARA Range (RED Compliant) vs Low Sulphur Gasoil 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
RIK,IFED,Biodiesel Outright - D4 RINS (OPIS) Current Year Future,Energy,Crude Oil and Refined Products,false,23:00UTC
RIL,IFED,Biodiesel Outright - D4 RINS (OPIS) Previous Year Future,Energy,Crude Oil and Refined Products,false,23:00UTC
SOW,IFEU,Biodiesel Outright - Soybean Oil Penultimate Day 1st Line Balmo Future,Energy,Crude Oil and Refined Products,false,23:05UTC
SOY,IFEU,Biodiesel Outright - Soybean Oil Penultimate Day 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
BRZ,IFEU,Brent 12-Month Calendar Spread Options,Energy,Crude Oil and Refined Products,true,23:00UTC
BSQ,IFEU,Brent 1st Line Balmo Future,Energy,Crude Oil and Refined Products,false,23:05UTC
IMM,IFEU,Brent 1st Line Mini Future,Energy,Crude Oil and Refined Products,false,23:00UTC
BRX,IFEU,Brent 6-Month Calendar Spread Bullet Future,Energy,Crude Oil and Refined Products,false,23:00UTC
BRX,IFEU,Brent 6-Month Calendar Spread Options,Energy,Crude Oil and Refined Products,true,23:05UTC
I,IFEU,Brent Average Price Options,Energy,Crude Oil and Refined Products,true,23:00UTC
BNB,IFEU,Brent Bullet Future,Energy,Crude Oil and Refined Products,false,23:00UTC
B,IFEU,Brent Crude American-style Options,Energy,Crude Oil and Refined Products,true,23:00UTC
,IFEU,Brent/WTI Futures Spread,Energy,Crude Oil and Refined Products,false,23:00UTC
BUK,IFED,Butane Argus CIF ARA Mini Balmo Future,Energy,Natural Gas Liquids,false,23:00UTC
BUN,IFED,Butane  Argus CIF ARA Balmo Future,Energy,Natural Gas Liquids,false,23:00UTC
ABR,IFED,Butane  Argus CIF ARA Future,Energy,Natural Gas Liquids,false,23:00UTC
ABM,IFED,Butane  Argus CIF ARA Mini Future,Energy,Natural Gas Liquids,false,23:00UTC
ABF,IFED,Butane  Argus Far East Index (AFEI) Future,Energy,Natural Gas Liquids,false,23:00UTC
BUQ,IFED,Butane  Argus Far East Index (AFEI) Mini Future,Energy,Natural Gas Liquids,false,23:00UTC
BUR,IFED,Butane  Argus Far East Index Balmo Future,Energy,Natural Gas Liquids,false,23:00UTC
BUS,IFED,Butane  Argus Saudi CP Mini Future,Energy,Natural Gas Liquids,false,23:00UTC
ABO,IFED,Butane  Argus Sonatrach CP Future,Energy,Natural Gas Liquids,false,23:00UTC
CCL,IFED,Caiso Malin Day-Ahead Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
CIK,IFED,CAISO NP-15 Day-Ahead HE 0900-1600 Fixed Price Future  7X,Energy,Electricity,false,23:00UTC
UNP,IFED,CAISO NP-15 Day-Ahead Off-Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
ONP,IFED,CAISO NP-15 Day-Ahead Off-Peak Fixed Price Future,Energy,Electricity,false,23:00UTC
DPN,IFED,CAISO NP-15 Day-Ahead Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
CAD,IFED,CAISO NP-15 Day-Ahead Peak Daily HE 0900-1600 Fixed Price Future,Energy,Electricity,false,23:00UTC
NPM,IFED,CAISO NP-15 Day-Ahead Peak Fixed Price Future,Energy,Electricity,false,23:00UTC
CNF,IFED,CAISO NP-15 Day-Ahead Peak HE 0900-1600 Fixed Price Future,Energy,Electricity,false,23:00UTC
CIQ,IFED,CAISO NP-15 Fifteen Minute Marker Off-Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
CIP,IFED,CAISO NP-15 Fifteen Minute Marker Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
NRO,IFED,CAISO NP-15 Real-Time Off-Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
NRP,IFED,CAISO NP-15 Real-Time Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
CPC,IFED,CAISO Palo Verde Day-Ahead Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
CIJ,IFED,CAISO SP-15 Day-Ahead HE 0900-1600 Fixed Price Future  7X,Energy,Electricity,false,23:00UTC
SQP,IFED,CAISO SP-15 Day-Ahead Off-Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
OFP,IFED,CAISO SP-15 Day-Ahead Off-Peak Fixed Price Future,Energy,Electricity,false,23:00UTC
SDP,IFED,CAISO SP-15 Day-Ahead Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
CAE,IFED,CAISO SP-15 Day-Ahead Peak Daily HE 0900-1600 Fixed Price Future,Energy,Electricity,false,23:00UTC
SPM,IFED,CAISO SP-15 Day-Ahead Peak Fixed Price Future,Energy,Electricity,false,23:00UTC
CNG,IFED,CAISO SP-15 Day-Ahead Peak HE 0900-1600 Fixed Price Future,Energy,Electricity,false,23:00UTC
CSZ,IFED,CAISO SP-15 Fifteen Minute Marker Off-Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
CSY,IFED,CAISO SP-15 Fifteen Minute Marker Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
SRO,IFED,CAISO SP-15 Real-Time Off-Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
SRP,IFED,CAISO SP-15 Real-Time Peak Daily Fixed Price Future,Energy,Electricity,false,23:00UTC
PWC,IFED,Calendar One Time Option on PJM Western Hub Real-Time Off-Peak Calendar Year One Time Fixed Price Future,Energy,Electricity,true,23:00UTC
HHM,IFED,Calendar Spread Option on Henry Penultimate 1-Month Calendar Spread Future,Energy,Natural Gas,true,23:00UTC
HMT,IFED,Calendar Spread Option on Henry Penultimate 3-Month Calendar Spread Future,Energy,Natural Gas,true,23:00UTC
HMX,IFED,Calendar Spread Option on Henry Penultimate 6-Month Calendar Spread Future,Energy,Natural Gas,true,23:00UTC
CES,IFEU,CER Daily Futures,Energy,Emissions,false,17:00UTC
CER,IFEU,CER Futures,Energy,Emissions,false,17:00UTC
CER,IFEU,CER Futures Options,Energy,Emissions,true,17:00UTC
CGB,IFED,CG Mainline Basis Future,Energy,Natural Gas,false,23:00UTC
CGA,IFED,CG Mainline Fixed Price Future,Energy,Natural Gas,false,23:00UTC
CON,IFED,CG Onshore Basis Future,Energy,Natural Gas,false,23:00UTC
CVG,IFED,CG Onshore Index Future,Energy,Natural Gas,false,23:00UTC
CVH,IFED,CG Onshore Swing Future,Energy,Natural Gas,false,23:00UTC
CGI,IFED,CG-Mainline Index Future,Energy,Natural Gas,false,23:00UTC
CGR,IFED,CG-Mainline Swing Future,Energy,Natural Gas,false,23:00UTC
CVQ,IFED,Cheyenne Hub Swing Future,Energy,Natural Gas,false,23:00UTC
DGD,IFED,Chicago Basis Future,Energy,Natural Gas,false,23:00UTC
ETC,IFED,Chicago Ethanol Future,Energy,Crude Oil and Refined Products,false,23:00UTC
CFB,IFED,Chicago Fixed Price Future,Energy,Natural Gas,false,23:00UTC
CIS,IFED,Chicago Index Future,Energy,Natural Gas,false,23:00UTC
CSS,IFED,Chicago Swing Future,Energy,Natural Gas,false,23:00UTC
CRI,IFED,CIG Rockies Basis Future,Energy,Natural Gas,false,23:00UTC
CRA,IFED,CIG Rockies Fixed Price Future,Energy,Natural Gas,false,23:00UTC
CRC,IFED,CIG Rockies Index Future,Energy,Natural Gas,false,23:00UTC
CRS,IFED,CIG Rockies Swing Future,Energy,Natural Gas,false,23:00UTC
TMF,IFED,Condensate Diff - ICE C5 1a Index Average Price Options,Energy,Crude Oil and Refined Products,true,23:00UTC
TMF,IFED,Condensate Diff - ICE C5 1A Index Future,Energy,Crude Oil and Refined Products,false,23:00UTC
CVR,IFED,Consumers Swing Future,Energy,Natural Gas,false,23:00UTC
ABL,IFED,Crude Diff - Argus ANS vs Brent 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
BAK,IFED,Crude Diff - Argus Bakken (Clearbrook) Crude Oil Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARF,IFEU,Crude Diff - Argus East Siberian Pacific Ocean (ESPO) Diff Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARI,IFED,Crude Diff - Argus LLS vs Brent 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARJ,IFED,Crude Diff - Argus LLS vs Dated Brent (Platts) Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARK,IFED,Crude Diff - Argus LLS vs WTI 1st Line Average Price Options,Energy,Crude Oil and Refined Products,true,ERROR : TIME CANNOT BE FOUND ON WEB PAGE
ARP,IFED,Crude Diff - Argus LLS vs WTI 1st Line Balmo Future,Energy,Crude Oil and Refined Products,false,ERROR : TIME CANNOT BE FOUND ON WEB PAGE
ARK,IFED,Crude Diff - Argus LLS vs WTI 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARL,IFED,Crude Diff - Argus LLS vs WTI Trade Month Average Price Options,Energy,Crude Oil and Refined Products,true,23:00UTC
ARQ,IFED,Crude Diff - Argus LLS vs WTI Trade Month Balmo Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARL,IFED,Crude Diff - Argus LLS vs WTI Trade Month Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARN,IFED,Crude Diff - Argus Mars vs Brent 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARO,IFED,Crude Diff - Argus Mars vs WTI 1st Line Average Price Options,Energy,Crude Oil and Refined Products,true,23:00UTC
ART,IFED,Crude Diff - Argus Mars vs WTI 1st Line Balmo Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARO,IFED,Crude Diff - Argus Mars vs WTI 1st Line Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARW,IFED,Crude Diff - Argus Mars vs WTI Trade Month Average Price Options,Energy,Crude Oil and Refined Products,true,ERROR : TIME CANNOT BE FOUND ON WEB PAGE
ARS,IFED,Crude Diff - Argus Mars vs WTI Trade Month Balmo Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARW,IFED,Crude Diff - Argus Mars vs WTI Trade Month Future,Energy,Crude Oil and Refined Products,false,23:00UTC
TAB,IFED,Crude Diff - Argus Sour Crude Index (ASCI) Diff Calendar Future,Energy,Crude Oil and Refined Products,false,23:00UTC
TOB,IFED,Crude Diff - Argus Sour Crude Index (ASCI) Diff Trade-Month Future,Energy,Crude Oil and Refined Products,false,23:00UTC
CSH,IFED,Crude Diff - Argus WCS (Cushing) Crude Oil Trade Month Average Price Options,Energy,Crude Oil and Refined Products,true,23:00UTC
CSH,IFED,Crude Diff - Argus WCS (Cushing) Crude Oil Trade Month Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ARV,IFED,Crude Diff - Argus WCS (Houston) Crude Oil Trade Month Future,Energy,Crude Oil and Refined Products,false,23:00UTC
AIM,IFED,Crude Diff - Argus WTI CMA Trade Month Future,Energy,Crude Oil and Refined Products,false,23:00UTC
MSN,IFED,Crude Diff - Argus WTI Houston vs Argus WTI Midland Trade Month Future,Energy,Crude Oil and Refined Products,false,23:00UTC
AIL,IFED,Crude Diff - Argus WTI Houston vs WTI 1st Line Average Price Options,Energy,Crude Oil and Refined Products,true,23:00UTC
AIK,IFED,Crude Diff - Argus WTI Houston vs WTI 1st Line Balmo Future,Energy,Crude Oil and Refined Products,false,23:00UTC
ACM,IFED,Crude Diff - Argus WTI Houston vs WTI Trade Month Average Price Options,Energy,Crude Oil and Refined Products,true,23:00UTC
